"s","d","studage","lectage","service","dept","y"
1,1002,2,2,0,2,5
1,1050,2,1,1,6,2
1,1582,2,2,0,2,5
1,2050,2,2,1,3,3
2,115,2,1,0,5,2
2,756,2,1,0,5,4
3,7,2,1,1,11,4
3,13,2,1,0,10,5
3,36,2,1,0,10,5
3,140,2,1,0,10,4
3,409,2,2,0,10,4
3,444,2,2,0,10,4
3,494,2,1,1,9,4
3,625,2,2,0,10,3
3,696,2,2,1,9,2
3,1056,2,2,1,8,4
3,1437,2,1,0,10,4
3,1917,2,1,0,10,5
3,1936,2,1,0,10,2
3,2058,2,1,0,10,3
4,17,2,2,0,2,4
4,70,2,1,1,11,5
4,501,2,1,0,2,5
4,1161,2,1,1,11,3
4,1323,2,1,0,2,4
4,1349,2,2,0,2,5
4,1361,2,1,0,2,4
4,1564,2,2,0,2,3
5,115,2,1,0,5,4
5,536,2,1,0,5,4
5,1439,2,1,0,5,5
5,2108,2,1,0,5,2
6,37,2,1,0,15,3
6,392,2,1,0,15,5
6,603,2,1,1,8,2
6,854,2,1,0,15,5
6,925,2,1,0,15,5
6,1180,2,1,0,15,5
6,1576,2,1,0,15,5
6,2026,2,1,1,8,2
7,588,2,1,1,4,5
7,750,2,1,0,2,5
7,1337,2,1,1,7,4
7,1788,2,1,1,7,5
7,1802,2,1,1,7,5
7,1843,2,1,1,4,5
7,2032,2,1,1,10,4
8,53,2,1,1,9,4
8,412,2,1,0,11,2
8,1709,2,1,0,11,5
8,1884,2,2,0,11,5
8,2059,2,1,0,11,3
9,17,2,1,0,2,5
9,269,2,2,0,2,5
9,281,2,2,1,6,5
9,1002,2,2,0,2,5
9,1067,2,1,0,2,4
9,1189,2,1,0,2,5
9,1292,2,1,1,14,5
9,1600,2,1,0,2,2
9,1770,2,2,1,6,1
10,18,2,1,0,10,4
10,20,2,1,0,10,5
10,377,2,2,0,10,3
10,435,2,1,1,8,4
10,445,2,2,0,10,4
10,637,2,1,0,10,2
10,642,2,1,0,10,2
10,668,2,1,0,10,5
10,678,2,2,0,10,4
10,681,2,2,0,10,5
10,940,2,1,0,10,3
10,1000,2,1,1,1,3
10,1790,2,1,0,10,5
10,2064,2,1,0,10,3
11,115,2,1,0,5,5
11,125,2,1,0,5,1
12,13,2,1,0,10,3
12,36,2,1,0,10,2
12,499,2,1,0,10,3
12,873,2,1,1,9,3
12,1917,2,1,0,10,2
13,314,2,2,0,11,5
13,412,2,1,0,11,2
13,571,2,1,0,11,3
13,583,2,1,0,11,4
13,624,2,2,1,9,4
13,704,2,1,0,11,5
13,873,2,1,1,9,5
13,1072,2,2,1,9,1
13,1485,2,2,1,9,5
13,1568,2,2,0,11,3
13,1705,2,2,0,11,4
13,1709,2,1,0,11,4
13,1748,2,1,0,11,3
13,1780,2,2,0,11,3
13,1884,2,2,0,11,3
13,2079,2,1,0,11,2
14,17,2,1,0,2,5
14,47,2,1,0,2,4
14,157,2,2,1,11,5
14,269,2,1,0,2,4
14,1002,2,2,0,2,3
14,1067,2,1,0,2,5
14,1275,2,2,1,11,3
14,1349,2,1,0,2,5
14,1361,2,1,0,2,3
14,1589,2,1,0,2,1
15,129,2,1,0,14,3
15,228,2,2,1,9,4
15,343,2,1,1,6,4
15,1015,2,1,0,14,5
15,1171,2,2,0,14,4
15,1271,2,1,0,14,3
15,1322,2,2,0,14,3
15,1383,2,2,0,14,4
15,1580,2,2,0,14,4
15,1875,2,2,0,14,5
15,1988,2,2,0,14,4
15,2052,2,1,0,14,3
15,2092,2,2,0,14,5
15,2147,2,1,0,14,3
16,460,2,1,0,3,5
16,575,2,1,0,3,5
16,722,2,1,0,3,3
16,989,2,1,1,14,2
16,1019,2,1,1,8,4
17,19,2,1,1,15,4
17,873,2,1,1,9,5
17,1917,2,1,0,10,2
18,536,2,1,0,5,4
18,763,2,1,0,5,3
19,1000,2,1,1,1,4
19,1589,2,1,1,2,4
19,1806,2,1,1,3,3
19,1881,2,2,1,3,2
19,2097,2,1,1,2,3
20,6,2,2,1,12,5
20,14,2,2,1,12,5
20,304,2,2,0,6,5
20,361,2,1,1,12,3
20,467,2,2,1,12,5
20,1597,2,1,1,12,3
21,53,2,2,1,9,3
21,264,2,1,1,11,2
21,385,2,1,0,14,2
22,14,2,2,1,12,4
22,139,2,1,1,12,4
22,205,2,1,1,12,5
22,304,2,2,0,6,5
22,367,2,2,0,6,4
22,408,2,2,1,12,4
22,436,2,2,1,12,3
22,467,2,2,1,12,4
22,602,2,2,1,12,4
22,646,2,2,1,12,3
22,655,2,2,1,12,5
22,687,2,2,1,12,4
22,702,2,1,0,6,4
22,735,2,2,1,12,4
22,742,2,2,1,12,5
22,762,2,1,1,12,3
22,936,2,1,0,6,3
22,947,2,2,1,12,3
22,1201,2,2,1,12,4
22,1629,2,1,0,6,5
22,1668,2,2,1,12,5
22,1687,2,1,0,6,5
22,1774,2,2,1,12,5
22,1827,2,1,0,6,5
22,1841,2,2,1,12,4
22,1879,2,1,0,6,4
22,2019,2,2,1,12,5
22,2025,2,2,0,6,4
22,2053,2,1,0,6,2
22,2074,2,2,0,6,5
22,2076,2,2,1,1,5
23,264,2,2,0,11,5
23,314,2,2,0,11,5
23,583,2,2,0,11,5
23,704,2,2,0,11,5
23,1709,2,2,0,11,5
24,53,2,1,1,9,3
24,102,2,1,1,1,2
24,721,2,1,1,8,2
24,934,2,1,0,3,3
24,1295,2,1,1,8,1
24,1407,2,2,0,3,3
24,1565,2,1,0,3,4
24,1711,2,1,0,3,5
24,2036,2,1,1,8,2
24,2087,2,2,0,3,3
25,17,2,1,0,2,3
25,269,2,1,0,2,2
25,750,2,1,0,2,1
25,1002,2,2,0,2,5
25,1189,2,2,0,2,4
25,1292,2,2,1,14,3
26,12,2,1,1,14,4
26,641,2,1,0,9,4
26,748,2,1,0,9,4
26,1207,2,1,0,9,4
26,1302,2,1,0,9,4
26,1763,2,1,0,9,3
26,2052,2,1,1,14,4
27,17,2,1,0,2,3
27,57,2,1,1,11,3
27,328,2,1,0,2,3
27,562,2,2,1,6,4
27,1002,2,2,0,2,4
27,1067,2,1,0,2,1
28,17,2,1,0,2,5
28,65,2,1,0,2,5
28,269,2,1,0,2,4
28,750,2,1,0,2,5
28,1002,2,2,0,2,5
28,1589,2,1,0,2,5
28,2097,2,2,0,2,3
29,115,2,1,0,5,5
29,378,2,2,0,5,4
29,453,2,1,0,5,4
29,536,2,1,0,5,3
29,670,2,2,0,5,4
29,756,2,2,0,5,5
29,763,2,1,0,5,3
29,901,2,1,0,5,5
29,1041,2,2,0,5,5
29,1157,2,2,0,5,5
29,1914,2,2,0,5,5
29,2108,2,1,0,5,5
29,2114,2,2,0,5,5
30,275,2,2,0,3,4
30,474,2,1,1,1,2
30,575,2,2,0,3,5
30,615,2,1,1,1,1
30,774,2,2,1,1,5
30,918,2,1,0,3,5
30,958,2,2,1,1,3
30,1081,2,2,0,3,3
30,1094,2,1,1,1,4
30,1305,2,1,0,3,5
30,1580,2,2,1,14,3
30,1587,2,2,1,1,5
30,1730,2,1,1,1,4
30,1842,2,1,0,3,2
30,1875,2,2,1,14,4
30,1988,2,2,1,14,3
30,2092,2,2,1,14,3
31,6,8,4,0,12,3
31,14,8,4,0,12,4
31,204,8,3,0,12,4
31,260,8,3,0,12,3
31,281,8,6,1,6,2
31,284,8,2,1,8,2
31,304,8,4,1,6,2
31,361,8,3,0,12,5
31,593,8,3,0,12,5
31,687,8,6,0,12,3
31,827,8,5,0,12,3
31,1008,8,3,1,8,5
31,1059,8,6,1,6,3
31,1097,8,5,1,6,3
31,1173,8,5,1,6,1
31,1219,8,6,1,6,3
31,1287,8,3,0,12,5
31,1314,8,5,0,12,5
31,1468,8,6,1,11,1
31,1492,8,6,1,11,3
