,userID,itemID,ratings
1,196,242,3
2,186,302,3
3,22,377,1
4,244,51,2
5,166,346,1
6,298,474,4
7,115,265,2
8,253,465,5
9,305,451,3
10,6,86,3
11,62,257,2
12,286,1014,5
13,200,222,5
14,210,40,3
15,224,29,3
16,303,785,3
17,122,387,5
18,194,274,2
19,291,1042,4
20,234,1184,2
21,119,392,4
22,167,486,4
23,299,144,4
24,291,118,2
25,308,1,4
26,95,546,2
27,38,95,5
28,102,768,2
29,63,277,4
30,160,234,5
31,50,246,3
32,301,98,4
33,225,193,4
34,290,88,4
35,97,194,3
36,157,274,4
37,181,1081,1
38,278,603,5
39,276,796,1
40,7,32,4
41,10,16,4
42,284,304,4
43,201,979,2
44,276,564,3
45,287,327,5
46,246,201,5
47,242,1137,5
48,249,241,5
49,99,4,5
50,178,332,3
51,251,100,4
52,81,432,2
53,260,322,4
54,25,181,5
55,59,196,5
56,72,679,2
57,87,384,4
58,290,143,5
59,42,423,5
60,292,515,4
61,115,20,3
62,20,288,1
63,201,219,4
64,13,526,3
65,246,919,4
66,138,26,5
67,167,232,1
68,60,427,5
69,57,304,5
70,223,274,4
71,189,512,4
72,243,15,3
73,92,1049,1
74,246,416,3
75,194,165,4
76,241,690,2
77,178,248,4
78,254,1444,3
79,293,5,3
80,127,229,5
81,225,237,5
82,299,229,3
83,225,480,5
84,276,54,3
85,291,144,5
86,222,366,4
87,267,518,5
88,42,403,3
89,11,111,4
90,95,625,4
91,8,338,4
92,162,25,4
93,87,1016,4
94,279,154,5
95,145,275,2
96,119,1153,5
97,62,498,4
98,62,382,3
99,28,209,4
100,135,23,4
101,32,294,3
102,90,382,5
103,286,208,4
104,293,685,3
105,216,144,4
106,166,328,5
107,250,496,4
108,271,132,5
109,160,174,5
110,265,118,4
111,198,498,3
112,42,96,5
113,168,151,5
114,110,307,4
115,58,144,4
116,90,648,4
117,271,346,4
118,62,21,3
119,279,832,3
120,237,514,4
121,94,789,4
122,128,485,3
123,298,317,4
124,44,195,5
125,264,200,5
126,194,385,2
127,72,195,5
128,222,750,5
129,250,264,3
130,41,265,3
131,224,245,3
132,82,135,3
133,262,1147,4
134,293,471,3
135,216,658,3
136,250,140,3
137,59,23,5
138,286,379,5
139,244,815,4
140,7,479,4
141,174,368,1
142,87,274,4
143,194,1211,2
144,82,1134,2
145,13,836,2
146,13,272,4
147,244,756,2
148,305,427,5
149,95,787,2
150,43,14,2
151,299,955,4
152,57,419,3
153,84,405,3
154,269,504,4
155,299,111,3
156,194,466,4
157,160,135,4
158,99,268,3
159,10,486,4
160,259,117,4
161,85,427,3
162,303,919,4
163,213,273,5
164,121,514,3
165,90,98,5
166,49,559,2
167,42,794,3
168,155,323,2
169,68,117,4
170,172,177,4
171,19,4,4
172,268,231,4
173,5,2,3
174,305,117,2
175,44,294,4
176,43,137,4
177,279,1336,1
178,80,466,5
179,254,164,4
180,298,281,3
181,279,1240,1
182,66,298,4
183,18,443,3
184,268,1035,2
185,99,79,4
186,13,98,4
187,26,258,3
188,7,455,4
189,222,755,4
190,200,673,5
191,119,328,4
192,213,172,5
193,276,322,3
194,94,1217,3
195,130,379,4
196,38,328,4
197,160,719,3
198,293,1267,3
199,26,930,2
200,130,216,4
201,92,1079,3
202,256,452,4
203,1,61,4
204,72,48,4
205,56,755,3
206,13,360,4
207,15,405,2
208,92,77,3
209,207,476,2
210,292,174,5
211,232,483,5
212,251,748,2
213,224,26,3
214,181,220,4
215,259,255,4
216,305,471,4
217,52,280,3
218,161,202,5
219,148,408,5
220,125,235,2
221,97,228,5
222,58,1098,4
223,83,234,4
224,90,347,4
225,272,178,5
226,194,181,3
227,125,478,4
228,110,688,1
229,299,14,4
230,151,10,5
231,269,127,4
232,6,14,5
233,54,106,3
234,303,69,5
235,16,944,1
236,301,790,4
237,276,1091,3
238,305,214,2
239,194,1028,2
240,91,323,2
241,87,554,4
242,294,109,4
243,286,171,4
244,200,318,5
245,229,328,1
246,178,568,4
247,303,842,2
248,62,65,4
249,207,591,3
250,92,172,4
251,301,401,4
252,36,339,5
253,70,746,3
254,63,242,3
255,28,201,3
256,279,68,4
257,250,7,4
258,14,98,3
259,299,1018,3
260,194,54,3
261,303,815,3
262,119,237,5
263,295,218,5
264,268,930,2
265,268,2,2
266,66,258,4
267,233,202,5
268,83,623,4
269,214,334,3
270,192,476,2
271,100,344,4
272,268,145,1
273,301,56,4
274,307,89,5
275,234,141,3
276,83,576,4
277,181,264,2
278,297,133,4
279,38,153,5
280,7,382,4
281,264,813,4
282,181,872,1
283,201,146,1
284,85,507,4
285,269,367,3
286,59,468,3
287,286,143,4
288,193,96,1
289,113,595,5
290,292,11,5
291,130,1014,3
292,275,98,4
293,189,520,5
294,219,82,1
295,218,209,5
296,123,427,3
297,119,222,5
298,158,177,4
299,222,118,4
300,302,322,2
301,279,501,3
302,301,79,5
303,181,3,2
304,201,695,1
305,13,198,3
306,1,189,3
307,145,237,5
308,23,385,4
309,201,767,4
310,296,705,5
311,42,546,3
312,33,872,3
313,301,554,3
314,16,64,5
315,95,135,3
316,154,357,4
317,77,484,5
318,296,508,5
319,302,303,2
320,244,673,3
321,222,77,4
322,13,215,5
323,16,705,5
324,270,452,4
325,145,15,2
326,187,64,5
327,200,304,5
328,170,749,5
329,101,829,3
330,184,218,3
331,128,204,4
332,181,1295,1
333,184,153,3
334,1,33,4
335,1,160,4
336,184,321,5
337,54,595,3
338,94,343,4
339,128,508,4
340,23,323,2
341,301,227,3
342,301,191,3
343,112,903,1
344,82,183,3
345,222,724,3
346,218,430,3
347,308,1197,4
348,303,134,5
349,133,751,3
350,215,212,2
351,69,256,5
352,254,662,4
353,276,2,4
354,104,984,1
355,63,1067,3
356,267,410,4
357,13,56,5
358,240,879,3
359,286,237,2
360,294,271,5
361,90,1086,4
