order,userID,itemID,ratings
1,196,242,3
2,186,302,3
3,22,377,1
4,244,51,2
5,166,346,1
6,298,474,4
7,115,265,2
8,253,465,5
9,305,451,3
10,6,86,3
11,62,257,2
12,286,1014,5
13,200,222,5
14,210,40,3
15,224,29,3
16,303,785,3
17,122,387,5
18,194,274,2
19,291,1042,4
20,234,1184,2
21,119,392,4
22,167,486,4
23,299,144,4
24,291,118,2
25,308,1,4
26,95,546,2
27,38,95,5
28,102,768,2
29,63,277,4
30,160,234,5
31,50,246,3
32,301,98,4
33,225,193,4
34,290,88,4
35,97,194,3
36,157,274,4
37,181,1081,1
38,278,603,5
39,276,796,1
40,7,32,4
41,10,16,4
42,284,304,4
43,201,979,2
44,276,564,3
45,287,327,5
46,246,201,5
47,242,1137,5
48,249,241,5
49,99,4,5
50,178,332,3
51,251,100,4
52,81,432,2
53,260,322,4
54,25,181,5
55,59,196,5
56,72,679,2
57,87,384,4
58,290,143,5
59,42,423,5
60,292,515,4
61,115,20,3
62,20,288,1
63,201,219,4
64,13,526,3
65,246,919,4
66,138,26,5
67,167,232,1
68,60,427,5
69,57,304,5
70,223,274,4
71,189,512,4
72,243,15,3
73,92,1049,1
74,246,416,3
75,194,165,4
76,241,690,2
77,178,248,4
78,254,1444,3
79,293,5,3
80,127,229,5
81,225,237,5
82,299,229,3
83,225,480,5
84,276,54,3
85,291,144,5
86,222,366,4
87,267,518,5
88,42,403,3
89,11,111,4
90,95,625,4
91,8,338,4
92,162,25,4
93,87,1016,4
94,279,154,5
95,145,275,2
96,119,1153,5
97,62,498,4
98,62,382,3
99,28,209,4
